date,symbol,open,high,low,close,volume,daily_return,ma7,ma20,ma50,volatility,momentum_score
2024-09-18,BAJFINANCE,7380.55,7437.47,7371.17,7373.7,32157859,-0.0928,,,,,
2024-09-19,BAJFINANCE,7359.27,7413.97,7338.88,7394.27,20997753,0.4756,,,,,
2024-09-20,BAJFINANCE,7538.33,7594.63,7532.95,7562.05,31136387,0.3147,,,,,
2024-09-23,BAJFINANCE,7484.17,7561.38,7460.92,7510.68,26077114,0.3542,,,,,
2024-09-24,BAJFINANCE,7725.39,7741.07,7664.26,7694.35,29194021,-0.4018,,,,,
2024-09-25,BAJFINANCE,7826.41,7924.3,7749.67,7862.92,23011057,0.4665,,,,,
2024-09-26,BAJFINANCE,8001.8,8053.38,7958.51,8026.58,27801697,0.3097,7632.08,,,,
2024-09-27,BAJFINANCE,8031.33,8047.27,8019.23,8044.01,22783528,0.1579,7727.84,,,,
2024-09-30,BAJFINANCE,7901.02,7968.48,7871.63,7938.53,24537039,0.4747,7805.59,,,,
2024-10-01,BAJFINANCE,7757.77,7784.44,7700.78,7720.58,30722379,-0.4794,7828.24,,,,
2024-10-02,BAJFINANCE,7731.81,7742.4,7696.49,7716.46,21414303,-0.1985,7857.63,,,,
2024-10-03,BAJFINANCE,7975.19,8022.33,7942.43,7960.81,13058814,-0.1803,7895.7,,,,
2024-10-04,BAJFINANCE,7894.22,7934.81,7833.27,7913.41,6880926,0.2431,7902.91,,,,
2024-10-07,BAJFINANCE,8041.29,8088.92,8014.55,8041.84,18511409,0.0068,7905.09,,,,
2024-10-08,BAJFINANCE,8145.02,8193.64,8102.04,8182.06,18155975,0.4548,7924.81,,,,
2024-10-09,BAJFINANCE,8105.77,8153.21,8078.65,8137.62,27354673,0.3929,7953.25,,,,
2024-10-10,BAJFINANCE,8396.47,8428.91,8318.59,8358.73,22478148,-0.4495,8044.42,,,,
2024-10-11,BAJFINANCE,7851.69,7942.97,7849.23,7884.87,30070446,0.4226,8068.48,,,,
2024-10-14,BAJFINANCE,7657.34,7719.41,7601.84,7695.0,12817955,0.4918,8030.5,,,,
2024-10-15,BAJFINANCE,7560.25,7561.96,7527.14,7556.34,16686877,-0.0517,7979.49,7828.74,,3.437,-3.4795
2024-10-16,BAJFINANCE,7415.84,7468.98,7402.7,7434.53,33410814,0.252,7892.74,7831.78,,3.3703,-5.0723
2024-10-17,BAJFINANCE,7488.77,7508.81,7447.33,7487.14,19683981,-0.0218,7793.46,7836.43,,3.274,-4.4573
2024-10-18,BAJFINANCE,7532.21,7572.4,7519.08,7533.1,18341104,0.0118,7707.1,7834.98,,3.2963,-3.853
2024-10-21,BAJFINANCE,7563.99,7606.64,7561.64,7595.24,26351016,0.4131,7598.03,7839.21,,3.2315,-3.1122
2024-10-22,BAJFINANCE,7716.66,7717.95,7667.72,7689.15,27694298,-0.3565,7570.07,7838.95,,3.2336,-1.911
2024-10-23,BAJFINANCE,7514.99,7549.06,7499.22,7545.35,13057729,0.404,7548.69,7823.07,,3.3454,-3.55
2024-10-24,BAJFINANCE,7391.27,7421.6,7350.44,7364.33,25402695,-0.3645,7521.26,7789.96,,3.5444,-5.4638
2024-10-25,BAJFINANCE,7422.73,7431.58,7419.74,7425.43,15924937,0.0364,7519.96,7759.03,,3.6185,-4.2995
2024-10-28,BAJFINANCE,7324.58,7379.98,7265.99,7333.69,12404946,0.1244,7498.04,7728.78,,3.7875,-5.1119
2024-10-29,BAJFINANCE,7139.41,7212.92,7096.64,7107.1,18984892,-0.4526,7437.18,7698.11,,4.21,-7.6773
2024-10-30,BAJFINANCE,7271.94,7295.32,7230.92,7249.61,13293762,-0.3071,7387.81,7674.77,,4.4192,-5.5397
2024-10-31,BAJFINANCE,7477.65,7480.01,7439.38,7458.42,22508284,-0.2572,7354.85,7649.65,,4.3851,-2.4999
2024-11-01,BAJFINANCE,7720.13,7735.46,7682.05,7698.35,29174048,-0.2821,7376.7,7638.9,,4.3193,0.7783
2024-11-04,BAJFINANCE,7755.22,7791.17,7694.67,7729.53,35207974,-0.3313,7428.88,7623.28,,4.1585,1.3938
2024-11-05,BAJFINANCE,7840.52,7868.69,7811.88,7829.82,13633987,-0.1365,7486.65,7605.67,,3.8554,2.9471
2024-11-06,BAJFINANCE,8017.42,8070.28,7975.37,8051.24,17248394,0.4218,7589.15,7601.35,,3.7561,5.9186
2024-11-07,BAJFINANCE,7940.06,8031.29,7927.81,7949.98,13955700,0.1249,7709.56,7580.91,,3.1572,4.8684
2024-11-08,BAJFINANCE,8169.91,8213.94,8129.01,8132.2,25900016,-0.4616,7835.65,7593.28,,3.4407,7.0973
2024-11-11,BAJFINANCE,8182.68,8211.01,8144.74,8179.7,23149888,-0.0364,7938.69,7617.51,,3.8317,7.3802
2024-11-12,BAJFINANCE,8375.53,8395.14,8300.11,8334.03,18670634,-0.4955,8029.5,7656.4,,4.3402,8.8505
2024-11-13,BAJFINANCE,8384.18,8420.74,8327.46,8367.64,22489087,-0.1973,8120.66,7703.05,,4.7196,8.6276
2024-11-14,BAJFINANCE,8567.33,8596.65,8520.22,8591.51,30359146,0.2822,8229.47,7758.27,,5.2839,10.74
2024-11-15,BAJFINANCE,8674.93,8728.57,8628.49,8632.67,30067301,-0.4872,8312.53,7813.25,,5.7586,10.4876
2024-11-18,BAJFINANCE,8345.02,8420.28,8322.44,8380.54,22218975,0.4256,8374.04,7852.51,,5.9084,6.7243
2024-11-19,BAJFINANCE,8662.05,8691.43,8614.52,8631.81,25613252,-0.3491,8445.41,7899.65,,6.2463,9.2683
2024-11-20,BAJFINANCE,8478.11,8504.79,8446.93,8470.81,25898197,-0.0861,8487.0,7945.92,,6.315,6.6058
2024-11-21,BAJFINANCE,8650.82,8698.28,8638.74,8689.88,32866453,0.4515,8537.84,8012.2,,6.3455,8.4581
2024-11-22,BAJFINANCE,8647.7,8702.6,8647.32,8676.45,23798307,0.3325,8581.95,8074.75,,6.3083,7.4516
2024-11-25,BAJFINANCE,8847.71,8891.69,8824.06,8887.02,22660631,0.4443,8624.17,8152.42,,6.2419,9.0108
2024-11-26,BAJFINANCE,9125.58,9194.53,9065.77,9095.13,20971320,-0.3337,8690.23,8251.82,7922.52,5.9097,10.2197
2024-11-27,BAJFINANCE,9195.74,9250.95,9151.02,9176.84,19264356,-0.2055,8803.99,8348.18,7958.59,5.6211,9.9262
2024-11-28,BAJFINANCE,9279.89,9322.17,9252.12,9273.93,13855531,-0.0642,8895.72,8438.95,7996.18,5.4941,9.8944
2024-11-29,BAJFINANCE,9310.19,9438.93,9303.65,9355.83,20139914,0.4902,9022.15,8521.83,8032.06,5.5429,9.7866
2024-12-02,BAJFINANCE,9009.92,9035.79,8960.6,8986.09,22221427,-0.2645,9064.47,8584.66,8061.56,5.1737,4.6761
2024-12-03,BAJFINANCE,9000.86,9035.89,8988.76,9010.01,20652592,0.1017,9112.12,8643.67,8087.88,4.8139,4.2382
2024-12-04,BAJFINANCE,8803.31,8812.37,8786.96,8811.98,14668595,0.0985,9101.4,8681.7,8106.86,4.5294,1.5006
2024-12-05,BAJFINANCE,8860.72,8881.23,8844.29,8844.85,26817494,-0.1791,9065.65,8726.45,8123.22,4.0636,1.3568
2024-12-06,BAJFINANCE,8664.81,8680.14,8629.98,8645.76,24154624,-0.2199,8989.78,8752.12,8135.26,3.7341,-1.2152
2024-12-09,BAJFINANCE,8476.83,8517.2,8420.61,8444.0,20040448,-0.3873,8871.22,8765.34,8145.37,3.5048,-3.666
2024-12-10,BAJFINANCE,8758.73,8816.24,8714.08,8724.03,19559673,-0.3962,8780.96,8784.84,8165.44,3.3046,-0.6922
2024-12-11,BAJFINANCE,8897.97,8984.92,8861.25,8916.58,22078917,0.2091,8771.03,8812.29,8189.44,3.1126,1.1835
2024-12-12,BAJFINANCE,8934.72,8984.86,8881.06,8918.27,23396215,-0.1841,8757.92,8828.62,8208.59,3.0599,1.0154
2024-12-13,BAJFINANCE,8984.86,9015.07,8921.78,8953.99,15748463,-0.3436,8778.21,8844.69,8229.4,3.0235,1.2358
2024-12-16,BAJFINANCE,8894.85,8952.96,8881.76,8911.79,30404155,0.1904,8787.77,8871.25,8246.8,2.7535,0.457
2024-12-17,BAJFINANCE,9051.75,9091.48,8977.34,9017.21,17747071,-0.3816,8840.84,8890.52,8263.5,2.6944,1.425
2024-12-18,BAJFINANCE,8888.74,8913.75,8810.18,8897.59,19807065,0.0996,8905.64,8911.86,8278.7,2.449,-0.1601
2024-12-19,BAJFINANCE,9063.95,9117.84,9039.19,9080.1,23214436,0.1782,8956.5,8931.37,8293.13,2.4048,1.6653
2024-12-20,BAJFINANCE,9042.25,9048.12,9012.52,9036.36,22268352,-0.0651,8973.62,8949.37,8316.16,2.3157,0.972
2024-12-23,BAJFINANCE,8995.32,9024.07,8909.05,8962.65,21638186,-0.3632,8979.96,8953.15,8341.51,2.309,0.1061
