date,symbol,open,high,low,close,volume,daily_return,ma7,ma20,ma50,volatility,momentum_score
2024-09-18,HDFCBANK,1573.39,1582.45,1565.7,1570.89,3793008,-0.1589,,,,,
2024-09-19,HDFCBANK,1569.81,1571.39,1554.67,1566.38,4905110,-0.2185,,,,,
2024-09-20,HDFCBANK,1566.03,1577.33,1558.24,1569.97,4896888,0.2516,,,,,
2024-09-23,HDFCBANK,1569.69,1569.82,1566.36,1569.4,4800476,-0.0185,,,,,
2024-09-24,HDFCBANK,1572.73,1586.13,1565.87,1566.79,6580589,-0.3777,,,,,
2024-09-25,HDFCBANK,1563.93,1582.19,1552.06,1568.33,3714699,0.2813,,,,,
2024-09-26,HDFCBANK,1595.34,1598.46,1587.81,1591.73,3930259,-0.2263,1571.93,,,,
2024-09-27,HDFCBANK,1581.81,1590.24,1577.21,1588.06,5441237,0.3951,1574.38,,,,
2024-09-30,HDFCBANK,1572.01,1585.18,1569.64,1575.84,2687980,0.2436,1575.73,,,,
2024-10-01,HDFCBANK,1577.11,1577.79,1569.29,1570.19,5989495,-0.4388,1575.76,,,,
2024-10-02,HDFCBANK,1581.37,1592.0,1570.14,1583.67,4388757,0.1454,1577.8,,,,
2024-10-03,HDFCBANK,1621.92,1632.98,1615.11,1616.15,5428182,-0.3558,1584.85,,,,
2024-10-04,HDFCBANK,1603.47,1612.08,1599.96,1602.49,7760905,-0.0611,1589.73,,,,
2024-10-07,HDFCBANK,1608.42,1614.45,1599.15,1605.34,4464143,-0.1915,1591.68,,,,
2024-10-08,HDFCBANK,1614.73,1619.42,1612.97,1613.63,6565058,-0.0681,1595.33,,,,
2024-10-09,HDFCBANK,1593.61,1594.53,1591.64,1591.79,6517033,-0.1142,1597.61,,,,
2024-10-10,HDFCBANK,1586.77,1599.1,1582.5,1592.84,4807832,0.3825,1600.84,,,,
2024-10-11,HDFCBANK,1559.6,1572.64,1550.66,1560.83,4242386,0.0789,1597.58,,,,
2024-10-14,HDFCBANK,1517.38,1531.91,1511.15,1522.92,3222155,0.3651,1584.26,,,,
2024-10-15,HDFCBANK,1523.87,1539.79,1509.83,1531.4,7280230,0.4941,1574.11,1577.93,,1.5188,-2.9488
2024-10-16,HDFCBANK,1526.04,1535.67,1516.31,1523.7,7659022,-0.1533,1562.44,1575.57,,1.7039,-3.2921
2024-10-17,HDFCBANK,1534.56,1545.94,1525.72,1528.63,3169252,-0.3864,1550.3,1573.68,,1.8291,-2.8627
2024-10-18,HDFCBANK,1526.02,1535.46,1524.12,1528.82,6702371,0.1835,1541.31,1571.63,,1.9396,-2.7239
2024-10-21,HDFCBANK,1507.59,1508.57,1500.35,1508.47,4818169,0.0584,1529.25,1568.58,,2.1423,-3.8321
2024-10-22,HDFCBANK,1511.18,1521.44,1507.67,1508.07,5110138,-0.2058,1521.72,1565.64,,2.3141,-3.6771
2024-10-23,HDFCBANK,1478.49,1488.34,1473.57,1482.62,4041379,0.2793,1515.96,1561.36,,2.6061,-5.043
2024-10-24,HDFCBANK,1505.68,1515.34,1497.91,1512.58,6212823,0.4583,1513.27,1557.4,,2.6598,-2.8779
2024-10-25,HDFCBANK,1483.18,1484.6,1479.43,1484.47,4928074,0.087,1507.67,1552.22,,2.8216,-4.3647
2024-10-28,HDFCBANK,1473.56,1485.62,1466.93,1480.93,7150063,0.5001,1500.85,1547.48,,2.9842,-4.3005
2024-10-29,HDFCBANK,1462.96,1469.17,1456.33,1459.86,5505133,-0.2119,1491.0,1541.96,,3.228,-5.3244
2024-10-30,HDFCBANK,1476.95,1479.93,1463.93,1472.21,3271766,-0.3209,1485.82,1536.39,,3.3247,-4.1773
2024-10-31,HDFCBANK,1460.35,1470.82,1444.89,1465.9,5251227,0.38,1479.8,1528.88,,3.255,-4.1194
2024-11-01,HDFCBANK,1453.71,1468.73,1451.36,1455.75,5843591,0.1403,1475.96,1521.54,,3.2305,-4.3239
2024-11-04,HDFCBANK,1468.99,1475.51,1463.07,1473.94,4430567,0.337,1470.44,1514.97,,3.0394,-2.7083
