date,symbol,open,high,low,close,volume,daily_return,ma7,ma20,ma50,volatility,momentum_score
2024-09-18,INFY,1778.09,1779.91,1767.34,1779.3,5747604,0.0681,,,,,
2024-09-19,INFY,1786.05,1798.66,1781.83,1788.88,6228164,0.1585,,,,,
2024-09-20,INFY,1762.15,1779.16,1761.92,1767.02,1183749,0.2764,,,,,
2024-09-23,INFY,1768.76,1772.92,1752.97,1760.54,5544935,-0.4647,,,,,
2024-09-24,INFY,1740.81,1754.49,1739.42,1747.11,7534200,0.3619,,,,,
2024-09-25,INFY,1729.39,1735.92,1728.76,1731.61,4007122,0.1284,,,,,
2024-09-26,INFY,1752.8,1757.32,1748.96,1754.65,4199494,0.1055,1761.3,,,,
2024-09-27,INFY,1730.88,1739.48,1723.65,1724.06,5940984,-0.394,1753.41,,,,
2024-09-30,INFY,1758.33,1775.23,1756.42,1761.48,6565411,0.1791,1749.5,,,,
2024-10-01,INFY,1773.41,1787.81,1772.47,1781.39,4516776,0.45,1751.55,,,,
2024-10-02,INFY,1805.1,1808.45,1790.68,1807.75,3840773,0.1468,1758.29,,,,
2024-10-03,INFY,1794.09,1801.73,1793.6,1797.51,5759558,0.1906,1765.49,,,,
2024-10-04,INFY,1793.69,1796.77,1793.37,1794.69,6340641,0.0558,1774.5,,,,
2024-10-07,INFY,1765.79,1773.62,1756.5,1761.99,5534530,-0.2152,1775.55,,,,
2024-10-08,INFY,1753.7,1754.71,1745.99,1750.6,4096003,-0.1768,1779.34,,,,
2024-10-09,INFY,1768.67,1773.49,1752.18,1762.65,4958144,-0.3404,1779.51,,,,
2024-10-10,INFY,1786.97,1797.6,1778.93,1793.54,6390194,0.3677,1781.25,,,,
2024-10-11,INFY,1761.78,1783.86,1754.81,1768.4,4140467,0.3758,1775.63,,,,
2024-10-14,INFY,1755.59,1772.25,1750.53,1760.63,4430626,0.2871,1770.36,,,,
2024-10-15,INFY,1755.92,1766.55,1751.49,1757.83,6274737,0.1088,1765.09,1767.58,,1.2347,-0.5516
