date,symbol,open,high,low,close,volume,daily_return,ma7,ma20,ma50,volatility,momentum_score
2024-09-18,LTIM,5128.04,5139.7,5111.78,5112.12,19613058,-0.3104,,,,,
2024-09-19,LTIM,5217.93,5245.18,5191.15,5239.95,16483276,0.422,,,,,
2024-09-20,LTIM,5375.18,5395.59,5328.5,5349.16,20054704,-0.4841,,,,,
2024-09-23,LTIM,5413.15,5435.59,5396.08,5402.35,12243204,-0.1995,,,,,
2024-09-24,LTIM,5373.19,5385.22,5348.02,5348.92,17926567,-0.4517,,,,,
2024-09-25,LTIM,5441.22,5487.28,5436.09,5467.22,18100504,0.4778,,,,,
2024-09-26,LTIM,5320.8,5332.05,5289.71,5330.82,20885139,0.1883,5321.51,,,,
2024-09-27,LTIM,5508.53,5542.85,5478.64,5520.09,15601268,0.2099,5379.79,,,,
2024-09-30,LTIM,5442.62,5479.87,5441.11,5461.37,17441879,0.3445,5411.42,,,,
2024-10-01,LTIM,5415.3,5455.51,5383.9,5440.22,15301017,0.4602,5424.43,,,,
2024-10-02,LTIM,5407.81,5409.04,5374.91,5404.55,16416509,-0.0603,5424.74,,,,
2024-10-03,LTIM,5325.44,5340.43,5291.37,5313.67,13306039,-0.221,5419.71,,,,
2024-10-04,LTIM,5469.72,5522.17,5463.83,5483.12,23154524,0.245,5421.98,,,,
2024-10-07,LTIM,5568.27,5576.42,5544.03,5555.24,12788346,-0.234,5454.04,,,,
2024-10-08,LTIM,5676.96,5704.95,5631.96,5667.17,16487935,-0.1725,5475.05,,,,
2024-10-09,LTIM,5582.9,5621.88,5526.1,5558.36,18785647,-0.4396,5488.9,,,,
2024-10-10,LTIM,5564.41,5600.55,5558.41,5576.53,13808954,0.2178,5508.38,,,,
2024-10-11,LTIM,5609.59,5627.51,5605.47,5625.53,12715971,0.2842,5539.95,,,,
2024-10-14,LTIM,5671.49,5696.49,5642.9,5652.1,16144568,-0.3419,5588.29,,,,
2024-10-15,LTIM,5534.64,5596.96,5513.18,5549.24,21866191,0.2638,5597.74,5452.89,,2.6263,1.767
2024-10-16,LTIM,5644.95,5657.46,5610.55,5648.28,14953509,0.059,5611.03,5479.69,,2.2829,3.0766
2024-10-17,LTIM,5654.93,5669.4,5633.45,5661.32,8574169,0.113,5610.19,5500.76,,2.1428,2.9189
2024-10-18,LTIM,5599.48,5657.24,5553.52,5576.74,15577300,-0.4061,5612.82,5512.14,,2.0566,1.172
2024-10-21,LTIM,5436.87,5465.43,5379.35,5414.23,17206640,-0.4164,5589.63,5512.74,,2.0459,-1.787
2024-10-22,LTIM,5443.71,5487.33,5403.18,5469.35,16079904,0.471,5567.32,5518.76,,1.9321,-0.8953
2024-10-23,LTIM,5693.12,5704.06,5689.23,5691.79,21886347,-0.0234,5572.99,5529.99,,2.0357,2.9259
2024-10-24,LTIM,5594.04,5644.98,5583.96,5601.29,26362744,0.1296,5580.43,5543.51,,1.8625,1.0423
2024-10-25,LTIM,5595.59,5649.23,5568.75,5618.66,21551397,0.4123,5576.2,5548.44,,1.8819,1.2656
2024-10-28,LTIM,5737.58,5743.69,5709.83,5722.16,11827965,-0.2688,5584.89,5561.48,,1.9626,2.8892
2024-10-29,LTIM,5618.1,5626.5,5604.28,5608.14,13690463,-0.1773,5589.37,5569.87,,1.8983,0.6871
2024-10-30,LTIM,5586.12,5600.49,5539.6,5566.82,17243951,-0.3455,5611.17,5577.99,,1.7631,-0.2003
2024-10-31,LTIM,5493.1,5508.47,5458.55,5492.04,22653737,-0.0193,5614.41,5586.91,,1.4207,-1.6981
2024-11-01,LTIM,5604.34,5608.08,5578.97,5581.88,19541298,-0.4008,5598.71,5591.84,,1.3512,-0.1781
2024-11-04,LTIM,5713.1,5725.1,5693.66,5704.45,13344798,-0.1514,5613.45,5599.3,,1.4116,1.8779
2024-11-05,LTIM,5721.32,5772.96,5716.32,5721.08,13920494,-0.0042,5628.08,5602.0,,1.4696,2.1257
2024-11-06,LTIM,5622.99,5664.2,5598.56,5645.9,11479085,0.4074,5617.19,5606.38,,1.4664,0.7049
2024-11-07,LTIM,5616.51,5618.7,5605.91,5607.67,20885615,-0.1574,5617.12,5607.93,,1.4606,-0.0046
2024-11-08,LTIM,5545.43,5578.6,5537.5,5552.86,9927690,0.134,5615.13,5604.3,,1.4756,-0.9179
2024-11-11,LTIM,5440.88,5482.33,5405.09,5467.93,18136396,0.4972,5611.68,5595.09,,1.559,-2.2727
2024-11-12,LTIM,5477.79,5493.99,5436.11,5460.83,9400144,-0.3096,5594.39,5590.67,,1.6419,-2.3224
2024-11-13,LTIM,5529.77,5579.47,5485.25,5513.59,16167056,-0.2926,5567.12,5583.94,,1.6526,-1.2599
2024-11-14,LTIM,5565.46,5596.97,5536.09,5559.28,15784903,-0.111,5544.01,5578.83,,1.6237,-0.3504
2024-11-15,LTIM,5545.76,5573.83,5537.29,5560.47,14179799,0.2652,5531.8,5578.02,,1.6256,-0.3146
2024-11-18,LTIM,5559.05,5595.04,5551.95,5567.51,18625482,0.1522,5526.07,5585.68,,1.4713,-0.3253
