date,symbol,open,high,low,close,volume,daily_return,ma7,ma20,ma50,volatility,momentum_score
2024-09-18,MARUTI,12322.6,12389.07,12319.21,12382.11,40039768,0.4829,,,,,
2024-09-19,MARUTI,12603.27,12628.78,12505.74,12541.05,33550796,-0.4937,,,,,
2024-09-20,MARUTI,12703.57,12779.48,12677.67,12690.49,41507931,-0.103,,,,,
2024-09-23,MARUTI,12848.62,12895.92,12820.6,12882.72,28275782,0.2654,,,,,
2024-09-24,MARUTI,12790.03,12832.89,12679.59,12729.32,18827135,-0.4747,,,,,
2024-09-25,MARUTI,12668.82,12733.53,12600.82,12624.37,51308804,-0.3509,,,,,
2024-09-26,MARUTI,12757.8,12795.81,12731.42,12786.57,37918735,0.2255,12662.38,,,,
2024-09-27,MARUTI,12749.06,12770.69,12680.57,12708.24,47594662,-0.3202,12708.97,,,,
2024-09-30,MARUTI,12558.87,12562.85,12489.35,12500.86,45388108,-0.4619,12703.22,,,,
2024-10-01,MARUTI,12613.01,12711.88,12565.86,12580.11,47185716,-0.2608,12687.46,,,,
2024-10-02,MARUTI,12548.72,12601.78,12472.51,12509.21,55342883,-0.3149,12634.1,,,,
2024-10-03,MARUTI,12725.28,12801.63,12677.0,12765.2,53171955,0.3137,12639.22,,,,
2024-10-04,MARUTI,12850.37,12854.62,12800.8,12812.5,42208276,-0.2947,12666.1,,,,
2024-10-07,MARUTI,12868.01,12876.82,12779.3,12840.61,47078172,-0.2129,12673.82,,,,
2024-10-08,MARUTI,12840.76,12865.01,12714.03,12793.46,44206328,-0.3684,12685.99,,,,
2024-10-09,MARUTI,13088.47,13109.54,13019.93,13026.51,40440575,-0.4734,12761.09,,,,
2024-10-10,MARUTI,13073.57,13099.13,13049.88,13083.82,34121571,0.0784,12833.04,,,,
2024-10-11,MARUTI,13045.81,13090.26,12971.58,13030.1,43758959,-0.1204,12907.46,,,,
2024-10-14,MARUTI,12880.26,12946.43,12785.1,12921.24,36441521,0.3182,12929.75,,,,
2024-10-15,MARUTI,12965.06,13030.2,12855.99,12916.08,31050878,-0.3778,12944.55,12756.23,,1.5101,1.2531
2024-10-16,MARUTI,12746.81,12794.59,12668.93,12782.13,34091839,0.2771,12936.19,12776.23,,1.3411,0.0462
2024-10-17,MARUTI,12921.5,12962.2,12912.07,12934.14,38255839,0.0978,12956.29,12795.88,,1.2925,1.0805
2024-10-18,MARUTI,12702.9,12749.78,12616.87,12682.66,30508681,-0.1593,12907.17,12795.49,,1.2946,-0.8818
2024-10-21,MARUTI,12679.35,12707.03,12660.72,12668.31,43120194,-0.0871,12847.81,12784.77,,1.3035,-0.9109
2024-10-22,MARUTI,12773.8,12817.31,12697.9,12759.59,42225627,-0.1112,12809.16,12786.29,,1.3003,-0.2088
2024-10-23,MARUTI,12750.72,12825.9,12733.99,12813.39,41459159,0.4915,12793.76,12795.74,,1.2651,0.1379
2024-10-24,MARUTI,12711.57,12731.57,12695.91,12717.17,56987760,0.0441,12765.34,12792.27,,1.2729,-0.5871
2024-10-25,MARUTI,12801.88,12850.48,12756.82,12815.92,18167592,0.1097,12770.17,12797.65,,1.2634,0.1428
2024-10-28,MARUTI,12726.76,12796.02,12695.59,12695.9,27531111,-0.2425,12736.13,12807.4,,1.1568,-0.8706
2024-10-29,MARUTI,12692.51,12799.67,12682.54,12698.02,50220488,0.0434,12738.33,12813.3,,1.0988,-0.8997
2024-10-30,MARUTI,12844.77,12867.16,12705.23,12795.42,22125228,-0.3842,12756.49,12827.61,,0.947,-0.2509
2024-10-31,MARUTI,12928.91,12947.36,12762.52,12866.6,42423353,-0.4819,12771.77,12832.68,,0.9418,0.2643
2024-11-01,MARUTI,12747.7,12834.93,12683.83,12775.96,34712212,0.2217,12766.43,12830.85,,0.9466,-0.4278
2024-11-04,MARUTI,12954.37,13052.58,12878.38,12952.08,42029996,-0.0177,12799.99,12836.42,,0.9695,0.901
2024-11-05,MARUTI,12916.79,12987.29,12840.71,12969.92,25115967,0.4113,12821.99,12845.25,,0.9922,0.9706
2024-11-06,MARUTI,13070.77,13145.13,13061.49,13082.62,37189374,0.0907,12877.23,12848.05,,1.0288,1.8257
2024-11-07,MARUTI,13310.46,13313.98,13229.49,13311.82,42905340,0.0102,12964.92,12859.45,,1.2474,3.5178
2024-11-08,MARUTI,13498.18,13541.94,13434.35,13483.37,30043307,-0.1097,13063.2,12882.12,,1.631,4.6673
2024-11-11,MARUTI,13668.64,13669.63,13578.29,13657.53,46733972,-0.0813,13176.19,12918.93,,2.1097,5.7172
2024-11-12,MARUTI,13624.02,13732.91,13536.71,13692.41,37500265,0.502,13307.11,12957.75,,2.491,5.6697
2024-11-13,MARUTI,13871.01,13895.45,13768.22,13819.2,29166526,-0.3735,13430.98,13009.6,,2.8636,6.2231
2024-11-14,MARUTI,13918.76,13991.96,13839.35,13857.71,35094635,-0.4386,13557.81,13055.78,,3.1959,6.1423
2024-11-15,MARUTI,13619.9,13801.6,13615.9,13678.82,49185906,0.4326,13642.98,13105.59,,3.2783,4.3739
2024-11-18,MARUTI,13670.23,13790.74,13654.56,13730.5,40394443,0.4409,13702.79,13158.7,,3.3309,4.3454
2024-11-19,MARUTI,13842.17,13852.19,13744.91,13775.3,51794920,-0.4831,13744.5,13209.48,,3.3942,4.2834
