date,symbol,open,high,low,close,volume,daily_return,ma7,ma20,ma50,volatility,momentum_score
2024-09-18,RELIANCE,2870.08,2873.77,2869.44,2872.52,9141407,0.085,,,,,
2024-09-19,RELIANCE,2881.89,2885.36,2867.5,2867.56,8657115,-0.4972,,,,,
2024-09-20,RELIANCE,2904.62,2908.25,2878.3,2896.83,5429614,-0.2682,,,,,
2024-09-23,RELIANCE,2970.47,2976.82,2947.18,2965.38,11463103,-0.1714,,,,,
2024-09-24,RELIANCE,2944.54,2958.83,2920.34,2955.97,8811884,0.3882,,,,,
2024-09-25,RELIANCE,2956.97,2975.25,2922.3,2946.59,12552177,-0.351,,,,,
2024-09-26,RELIANCE,3030.25,3042.57,3015.63,3018.88,11945022,-0.3752,2931.96,,,,
2024-09-27,RELIANCE,3046.44,3065.94,3033.51,3055.21,4540073,0.2879,2958.06,,,,
2024-09-30,RELIANCE,3031.43,3045.46,3029.77,3034.7,9006306,0.1079,2981.94,,,,
2024-10-01,RELIANCE,3069.49,3096.07,3040.87,3060.81,5403368,-0.2828,3005.36,,,,
2024-10-02,RELIANCE,3051.55,3051.73,3030.85,3040.54,7908441,-0.3608,3016.1,,,,
2024-10-03,RELIANCE,3034.79,3054.91,2995.32,3020.3,8346806,-0.4775,3025.29,,,,
2024-10-04,RELIANCE,3036.51,3038.0,3031.55,3032.46,6039145,-0.1334,3037.56,,,,
2024-10-07,RELIANCE,2942.52,2952.82,2941.78,2947.07,10727724,0.1546,3027.3,,,,
2024-10-08,RELIANCE,2877.06,2882.19,2866.78,2872.25,6690662,-0.1672,3001.16,,,,
2024-10-09,RELIANCE,2837.25,2855.33,2836.03,2848.96,6189647,0.4127,2974.63,,,,
2024-10-10,RELIANCE,2798.44,2807.33,2772.82,2806.69,8317555,0.2948,2938.32,,,,
2024-10-11,RELIANCE,2829.52,2830.0,2813.18,2821.07,9037874,-0.2986,2906.97,,,,
2024-10-14,RELIANCE,2794.02,2803.5,2776.71,2783.62,6870980,-0.3722,2873.16,,,,
2024-10-15,RELIANCE,2717.88,2732.12,2714.88,2725.8,3301619,0.2914,2829.35,2928.66,,3.4448,-6.9267
2024-10-16,RELIANCE,2791.18,2798.16,2763.44,2787.88,10491196,-0.1182,2806.61,2924.43,,3.5923,-4.6693
2024-10-17,RELIANCE,2790.37,2801.35,2745.16,2779.39,11102630,-0.3935,2793.34,2920.02,,3.7441,-4.8161
2024-10-18,RELIANCE,2772.3,2800.2,2744.95,2783.23,6702046,0.3943,2783.95,2914.34,,3.8935,-4.4988
2024-10-21,RELIANCE,2721.56,2734.77,2714.52,2724.91,6084070,0.1231,2772.27,2902.32,,4.1453,-6.1127
2024-10-22,RELIANCE,2693.27,2705.91,2683.42,2703.55,10956154,0.3817,2755.48,2889.7,,4.4093,-6.4418
2024-10-23,RELIANCE,2709.03,2716.15,2708.19,2709.07,6586272,0.0015,2744.83,2877.82,,4.6143,-5.8638
2024-10-24,RELIANCE,2665.61,2670.31,2646.45,2663.3,7665202,-0.0867,2735.9,2860.04,,4.7782,-6.8789
2024-10-25,RELIANCE,2675.77,2686.6,2665.84,2679.44,12903469,0.1372,2720.41,2841.25,,4.724,-5.695
2024-10-28,RELIANCE,2652.36,2656.47,2651.0,2656.18,7725955,0.144,2702.81,2822.33,,4.6834,-5.887
2024-10-29,RELIANCE,2636.27,2647.97,2629.38,2645.45,7439354,0.3482,2683.13,2801.56,,4.4683,-5.5723
2024-10-30,RELIANCE,2614.22,2631.13,2608.5,2622.44,2843708,0.3144,2668.49,2780.65,,4.2389,-5.6897
2024-10-31,RELIANCE,2710.91,2718.3,2695.32,2697.89,6480754,-0.4803,2667.68,2764.53,,3.7865,-2.4105
2024-11-01,RELIANCE,2710.99,2713.55,2695.37,2698.32,6899275,-0.4674,2666.15,2747.83,,3.07,-1.8018
2024-11-04,RELIANCE,2660.95,2666.61,2655.42,2656.48,10263162,-0.168,2665.17,2733.3,,2.6494,-2.8105
2024-11-05,RELIANCE,2692.62,2702.66,2682.49,2690.69,7262810,-0.0717,2666.78,2724.22,,2.3893,-1.2308
2024-11-06,RELIANCE,2640.47,2653.03,2623.27,2642.44,8659633,0.0746,2664.82,2713.89,,2.2284,-2.6328
2024-11-07,RELIANCE,2641.54,2667.92,2633.08,2651.76,5952756,0.3869,2665.72,2706.15,,2.1369,-2.0099
2024-11-08,RELIANCE,2574.79,2578.03,2568.07,2575.27,8658068,0.0186,2658.98,2693.86,,2.1618,-4.4022
