date,symbol,open,high,low,close,volume,daily_return,ma7,ma20,ma50,volatility,momentum_score
2024-09-18,SBIN,808.86,809.91,803.99,808.71,2359217,-0.0185,,,,,
2024-09-19,SBIN,809.76,810.38,807.94,808.03,3294891,-0.2136,,,,,
2024-09-20,SBIN,812.09,819.38,805.4,809.2,2219077,-0.3559,,,,,
2024-09-23,SBIN,816.36,819.22,813.96,814.46,2532225,-0.2327,,,,,
2024-09-24,SBIN,861.95,864.82,859.01,863.2,2442290,0.145,,,,,
2024-09-25,SBIN,885.82,887.14,881.76,884.79,2440321,-0.1163,,,,,
2024-09-26,SBIN,898.45,904.4,892.63,896.39,2476418,-0.2293,840.68,,,,
2024-09-27,SBIN,884.42,885.26,878.67,881.95,2491848,-0.2793,851.15,,,,
2024-09-30,SBIN,884.16,884.55,877.94,884.52,1854261,0.0407,862.07,,,,
2024-10-01,SBIN,873.86,874.81,867.81,871.84,1813456,-0.2312,871.02,,,,
2024-10-02,SBIN,886.57,893.71,882.15,885.22,1523583,-0.1523,881.13,,,,
2024-10-03,SBIN,890.37,893.31,885.68,887.75,2078031,-0.2943,884.64,,,,
2024-10-04,SBIN,872.55,875.61,868.09,870.1,1932285,-0.2808,882.54,,,,
2024-10-07,SBIN,873.03,876.89,871.58,871.65,1695008,-0.1581,879.0,,,,
2024-10-08,SBIN,854.45,860.99,853.84,858.59,750973,0.4845,875.67,,,,
2024-10-09,SBIN,860.73,864.01,860.28,861.21,2097607,0.0558,872.34,,,,
2024-10-10,SBIN,850.33,855.13,845.24,848.16,1669666,-0.2552,868.95,,,,
2024-10-11,SBIN,849.39,855.79,848.53,848.85,2117391,-0.0636,863.76,,,,
2024-10-14,SBIN,864.62,864.65,859.77,860.75,3730371,-0.4476,859.9,,,,
2024-10-15,SBIN,860.67,862.3,857.09,860.19,2574535,-0.0558,858.49,858.78,,3.2763,0.1642
2024-10-16,SBIN,856.48,867.4,853.48,854.38,1946412,-0.2452,856.02,861.06,,2.9727,-0.7758
2024-10-17,SBIN,857.44,865.05,852.91,857.8,2340259,0.042,855.91,863.55,,2.5926,-0.6659
2024-10-18,SBIN,867.07,876.4,865.99,868.99,1800264,0.2214,857.02,866.54,,2.1214,0.2827
2024-10-21,SBIN,856.19,860.62,848.44,851.98,1874153,-0.4917,857.56,868.42,,1.6391,-1.8931
2024-10-22,SBIN,856.86,858.29,854.73,856.28,2177901,-0.0677,858.62,868.07,,1.6647,-1.3582
2024-10-23,SBIN,880.95,881.45,866.9,877.27,2039398,-0.4177,860.98,867.69,,1.6233,1.1041
2024-10-24,SBIN,890.92,890.98,882.88,886.72,3297385,-0.4714,864.77,867.21,,1.5205,2.2497
2024-10-25,SBIN,888.55,899.07,885.69,887.93,2589882,-0.0698,869.57,867.51,,1.5676,2.3539
2024-10-28,SBIN,899.21,905.74,896.13,898.58,2509386,-0.0701,875.39,868.21,,1.7084,3.498
2024-10-29,SBIN,904.28,908.89,898.65,906.27,2395153,0.2201,880.72,869.93,,1.9657,4.1773
2024-10-30,SBIN,920.92,921.76,915.5,919.03,2655599,-0.2052,890.3,871.62,,2.3059,5.4393
2024-10-31,SBIN,888.6,891.39,882.69,886.17,1731306,-0.2735,894.57,871.54,,2.2988,1.6786
2024-11-01,SBIN,865.31,867.23,861.2,861.81,1756537,-0.4045,892.36,871.13,,2.3134,-1.0699
2024-11-04,SBIN,880.54,881.46,874.85,877.94,2580492,-0.2953,891.1,871.44,,2.3191,0.7459
2024-11-05,SBIN,856.99,857.91,851.57,854.56,2098282,-0.2836,886.34,871.24,,2.3374,-1.9145
2024-11-06,SBIN,865.14,870.06,859.6,861.07,1956314,-0.4704,880.98,871.24,,2.3378,-1.1673
2024-11-07,SBIN,858.98,865.19,854.78,855.86,1529640,-0.3632,873.78,871.62,,2.292,-1.8081
2024-11-08,SBIN,839.33,845.02,837.33,840.79,1481496,0.1739,862.6,871.22,,2.357,-3.4928
