date,symbol,open,high,low,close,volume,daily_return,ma7,ma20,ma50,volatility,momentum_score
2024-09-18,SUNPHARMA,1579.89,1593.26,1571.94,1582.18,5879607,0.1449,,,,,
2024-09-19,SUNPHARMA,1568.25,1569.91,1553.11,1562.72,5585672,-0.3526,,,,,
2024-09-20,SUNPHARMA,1551.09,1562.31,1544.3,1551.47,4869186,0.0245,,,,,
2024-09-23,SUNPHARMA,1582.45,1591.57,1574.38,1585.59,6171360,0.1984,,,,,
2024-09-24,SUNPHARMA,1582.3,1586.21,1582.26,1583.39,6102286,0.0689,,,,,
2024-09-25,SUNPHARMA,1635.41,1636.19,1625.97,1630.97,5278928,-0.2715,,,,,
2024-09-26,SUNPHARMA,1594.5,1597.08,1582.52,1591.99,4341914,-0.1574,1584.04,,,,
2024-09-27,SUNPHARMA,1576.83,1584.41,1574.8,1580.9,5931653,0.2581,1583.86,,,,
2024-09-30,SUNPHARMA,1539.63,1553.14,1537.25,1547.34,5312657,0.5008,1581.66,,,,
2024-10-01,SUNPHARMA,1527.84,1529.3,1504.78,1521.73,5981022,-0.3999,1577.42,,,,
2024-10-02,SUNPHARMA,1502.09,1508.88,1498.63,1504.62,4700366,0.1684,1565.85,,,,
2024-10-03,SUNPHARMA,1513.93,1519.83,1511.61,1511.9,3526033,-0.1341,1555.64,,,,
2024-10-04,SUNPHARMA,1519.35,1524.5,1513.46,1518.17,5474243,-0.0777,1539.52,,,,
2024-10-07,SUNPHARMA,1511.52,1521.92,1499.25,1504.26,5431368,-0.4803,1526.99,,,,
2024-10-08,SUNPHARMA,1452.27,1460.1,1451.44,1458.25,4889254,0.4118,1509.47,,,,
2024-10-09,SUNPHARMA,1483.66,1489.73,1482.89,1489.54,4760781,0.3963,1501.21,,,,
2024-10-10,SUNPHARMA,1487.26,1489.19,1482.53,1484.11,6206192,-0.2118,1495.84,,,,
2024-10-11,SUNPHARMA,1455.71,1465.54,1455.23,1461.46,5273557,0.395,1489.67,,,,
2024-10-14,SUNPHARMA,1470.92,1476.4,1465.36,1467.7,3461311,-0.2189,1483.36,,,,
2024-10-15,SUNPHARMA,1471.04,1474.02,1461.04,1472.49,7252074,0.0986,1476.83,1530.54,,3.3429,-3.7928
2024-10-16,SUNPHARMA,1460.77,1468.68,1459.51,1466.35,4634669,0.382,1471.41,1524.75,,3.3819,-3.8301
2024-10-17,SUNPHARMA,1466.11,1479.87,1460.93,1469.98,5095634,0.264,1473.09,1520.11,,3.4299,-3.2978
2024-10-18,SUNPHARMA,1441.37,1447.95,1438.74,1446.76,7774952,0.3739,1466.98,1514.88,,3.5676,-4.4967
2024-10-21,SUNPHARMA,1468.46,1469.17,1461.35,1462.91,6858491,-0.3779,1463.95,1508.74,,3.4822,-3.0376
2024-10-22,SUNPHARMA,1450.01,1455.73,1442.38,1443.02,2381520,-0.4821,1461.32,1501.72,,3.423,-3.9089
2024-10-23,SUNPHARMA,1431.33,1434.12,1422.42,1431.28,5181933,-0.0035,1456.11,1491.74,,2.9369,-4.053
2024-10-24,SUNPHARMA,1445.81,1450.53,1439.82,1444.99,2910638,-0.0567,1452.18,1484.39,,2.5641,-2.6543
2024-10-25,SUNPHARMA,1475.01,1479.3,1466.52,1470.3,5232789,-0.3193,1452.75,1478.86,,2.0695,-0.5788
2024-10-28,SUNPHARMA,1499.18,1504.86,1491.76,1504.14,4647305,0.3308,1457.63,1476.7,,1.8152,1.8582
2024-10-29,SUNPHARMA,1534.29,1535.77,1523.41,1527.29,3522137,-0.4562,1469.13,1476.98,,1.8498,3.4063
2024-10-30,SUNPHARMA,1520.76,1530.24,1514.11,1520.89,4831170,0.0085,1477.42,1477.79,,1.9223,2.9165
2024-10-31,SUNPHARMA,1492.04,1493.95,1487.38,1488.74,3812217,-0.2212,1483.95,1476.63,,1.8555,0.8201
2024-11-01,SUNPHARMA,1518.42,1520.71,1512.96,1519.12,3358917,0.0461,1496.5,1476.68,,1.8606,2.874
2024-11-04,SUNPHARMA,1545.65,1553.85,1536.46,1549.37,3555575,0.2407,1511.41,1478.93,,2.1249,4.7629
2024-11-05,SUNPHARMA,1531.55,1536.02,1513.89,1535.33,8197894,0.2468,1520.7,1482.79,,2.2538,3.5433
