date,symbol,open,high,low,close,volume,daily_return,ma7,ma20,ma50,volatility,momentum_score
2024-09-18,TATAMOTORS,966.23,970.79,962.06,962.48,2015162,-0.3881,,,,,
2024-09-19,TATAMOTORS,959.01,963.86,949.92,955.23,2661251,-0.3942,,,,,
2024-09-20,TATAMOTORS,936.82,939.67,934.54,939.29,2712885,0.2637,,,,,
2024-09-23,TATAMOTORS,920.18,920.92,919.86,920.25,2780252,0.0076,,,,,
2024-09-24,TATAMOTORS,887.62,890.05,884.88,888.12,2531889,0.0563,,,,,
2024-09-25,TATAMOTORS,891.15,894.96,883.6,889.7,2839215,-0.1627,,,,,
2024-09-26,TATAMOTORS,882.8,884.04,876.49,878.75,2582258,-0.4588,919.12,,,,
2024-09-27,TATAMOTORS,893.79,903.16,892.34,897.99,2299677,0.4699,909.9,,,,
2024-09-30,TATAMOTORS,868.45,870.77,866.9,869.83,3000837,0.1589,897.7,,,,
2024-10-01,TATAMOTORS,857.41,860.9,853.26,859.63,2035844,0.2589,886.32,,,,
2024-10-02,TATAMOTORS,893.54,896.38,886.33,895.1,2118937,0.1746,882.73,,,,
2024-10-03,TATAMOTORS,872.65,878.04,871.59,876.84,2769358,0.4801,881.12,,,,
2024-10-04,TATAMOTORS,874.95,876.11,870.45,872.46,2406617,-0.2846,878.66,,,,
2024-10-07,TATAMOTORS,852.1,852.72,844.43,849.45,3288781,-0.311,874.47,,,,
2024-10-08,TATAMOTORS,827.87,830.61,821.31,824.61,2702176,-0.3938,863.99,,,,
2024-10-09,TATAMOTORS,856.65,857.15,850.21,853.59,2464375,-0.3572,861.67,,,,
2024-10-10,TATAMOTORS,857.17,858.56,851.93,857.03,4169784,-0.0163,861.3,,,,
2024-10-11,TATAMOTORS,863.78,865.43,857.95,859.78,2624238,-0.4631,856.25,,,,
2024-10-14,TATAMOTORS,831.65,833.96,821.94,828.23,4168295,-0.4112,849.31,,,,
2024-10-15,TATAMOTORS,837.31,838.88,834.58,835.03,3557222,-0.2723,843.96,880.67,,4.4534,-5.1824
2024-10-16,TATAMOTORS,855.17,860.69,848.96,856.94,1743945,0.207,845.03,875.39,,3.9344,-2.1076
2024-10-17,TATAMOTORS,876.21,885.61,869.44,879.27,2698326,0.3492,852.84,871.59,,3.318,0.8811
2024-10-18,TATAMOTORS,895.27,899.79,892.51,892.6,4018445,-0.2982,858.41,869.26,,2.8475,2.685
2024-10-21,TATAMOTORS,869.96,872.15,869.72,870.72,4453636,0.0874,860.37,866.78,,2.4997,0.4546
2024-10-22,TATAMOTORS,874.72,882.11,874.28,876.99,2944032,0.2595,862.83,866.23,,2.4507,1.2422
2024-10-23,TATAMOTORS,890.27,892.98,886.64,890.27,3615100,0.0,871.69,866.26,,2.4545,2.7717
2024-10-24,TATAMOTORS,857.69,863.72,851.6,855.74,1562141,-0.2274,874.65,865.11,,2.4475,-1.0831
2024-10-25,TATAMOTORS,835.73,841.49,831.21,834.92,2153030,-0.0969,871.5,861.95,,2.4026,-3.1359
2024-10-28,TATAMOTORS,852.8,854.43,848.21,851.72,3522709,-0.1266,867.57,861.05,,2.409,-1.0836
2024-10-29,TATAMOTORS,871.5,871.75,862.01,868.63,2934934,-0.3293,864.14,861.5,,2.4153,0.8276
2024-10-30,TATAMOTORS,840.06,845.92,836.46,839.5,2303965,-0.0667,859.68,858.72,,2.3023,-2.2382
2024-10-31,TATAMOTORS,853.41,854.88,852.7,854.63,3009954,0.143,856.49,857.61,,2.2524,-0.3475
2024-11-01,TATAMOTORS,860.6,867.85,852.85,856.63,3394102,-0.4613,851.68,856.81,,2.2173,-0.021
2024-11-04,TATAMOTORS,868.06,875.05,864.72,871.8,1980070,0.4308,853.98,857.93,,2.2377,1.6167
2024-11-05,TATAMOTORS,858.19,861.21,857.58,859.82,2841970,0.1899,857.53,859.69,,2.0383,0.0151
2024-11-06,TATAMOTORS,869.6,873.16,867.12,872.41,3796171,0.3231,860.49,860.63,,2.0546,1.3688
2024-11-07,TATAMOTORS,891.8,891.9,884.44,889.09,3780184,-0.3039,863.41,862.24,,2.1757,3.114
2024-11-08,TATAMOTORS,883.29,887.97,878.77,882.39,2926827,-0.1019,869.54,863.37,,2.2328,2.203
2024-11-11,TATAMOTORS,879.22,887.73,876.57,882.94,2798272,0.4231,873.58,866.1,,2.062,1.9443
2024-11-12,TATAMOTORS,871.53,876.26,867.66,870.54,2121565,-0.1136,875.57,867.88,,1.8787,0.3065
2024-11-13,TATAMOTORS,904.25,904.79,901.82,903.22,2482410,-0.1139,880.06,870.19,,2.0546,3.7957
2024-11-14,TATAMOTORS,898.97,905.49,894.05,901.02,2780614,0.228,885.94,871.28,,2.19,3.4134
2024-11-15,TATAMOTORS,882.61,884.21,878.91,882.99,3432515,0.0431,887.46,870.8,,2.1396,1.3999
2024-11-18,TATAMOTORS,873.39,874.29,863.76,869.29,2926383,-0.4694,884.63,870.73,,2.1401,-0.1654
2024-11-19,TATAMOTORS,869.26,874.47,865.89,871.93,4206086,0.3072,883.13,870.47,,2.1344,0.1677
2024-11-20,TATAMOTORS,888.29,892.65,882.63,886.83,2551990,-0.1644,883.69,870.3,,2.1144,1.8993
2024-11-21,TATAMOTORS,861.43,861.89,860.53,861.14,2719332,-0.0337,882.35,870.57,,2.0923,-1.0832
2024-11-22,TATAMOTORS,894.19,906.15,892.74,897.36,3479664,0.3545,881.51,873.69,,1.9572,2.7092
2024-11-25,TATAMOTORS,906.29,909.76,897.68,903.73,2487195,-0.2825,881.9,876.29,,2.0007,3.1314
2024-11-26,TATAMOTORS,909.2,915.66,906.55,913.34,1983195,0.4553,886.23,878.53,877.24,2.1932,3.9623
2024-11-27,TATAMOTORS,914.62,919.42,909.06,911.58,4067557,-0.3324,892.27,882.13,876.22,2.0745,3.3385
2024-11-28,TATAMOTORS,916.53,917.64,910.18,912.18,2631033,-0.4746,898.02,885.01,875.36,2.0646,3.07
2024-11-29,TATAMOTORS,910.51,912.37,905.5,909.4,1798507,-0.1219,901.25,887.65,874.76,2.0009,2.4503
2024-12-02,TATAMOTORS,926.37,931.88,925.4,930.37,2954736,0.4318,911.14,890.58,874.96,2.2153,4.4679
2024-12-03,TATAMOTORS,932.63,936.25,928.51,930.42,2341437,-0.237,915.86,894.11,875.81,2.2643,4.061
2024-12-04,TATAMOTORS,942.0,950.16,940.08,946.6,3593934,0.4883,921.98,897.82,876.95,2.5292,5.4332
2024-12-05,TATAMOTORS,935.74,939.66,930.7,937.75,3066756,0.2148,925.47,900.25,878.13,2.6966,4.1655
2024-12-06,TATAMOTORS,939.53,948.13,937.85,942.05,3895433,0.2682,929.82,903.23,879.01,2.8337,4.2979
2024-12-09,TATAMOTORS,928.7,932.94,924.07,925.61,2400033,-0.3327,931.74,905.37,880.12,2.8268,2.2356
2024-12-10,TATAMOTORS,952.24,959.54,950.03,951.14,5095045,-0.1155,937.71,909.4,881.95,2.8766,4.5898
2024-12-11,TATAMOTORS,937.1,937.36,929.78,933.93,3121116,-0.3383,938.21,910.93,882.73,2.9283,2.5249
2024-12-12,TATAMOTORS,926.09,930.87,918.66,927.44,2613235,0.1458,937.79,912.25,883.74,2.939,1.6651
2024-12-13,TATAMOTORS,920.32,922.49,915.86,921.2,2202374,0.0956,934.16,914.16,884.72,2.8402,0.7701
2024-12-16,TATAMOTORS,912.71,917.51,911.7,914.21,2796588,0.1643,930.8,916.41,886.01,2.5889,-0.2401
2024-12-17,TATAMOTORS,930.49,933.12,926.63,929.19,2542993,-0.1397,928.96,919.27,888.1,2.3298,1.0791
2024-12-18,TATAMOTORS,925.99,931.72,920.48,922.9,3383116,-0.3337,928.57,921.08,889.49,2.1729,0.1976
