date,symbol,open,high,low,close,volume,daily_return,ma7,ma20,ma50,volatility,momentum_score
2024-09-18,TCS,3779.46,3790.85,3771.36,3783.98,9477018,0.1196,,,,,
2024-09-19,TCS,3754.52,3794.23,3731.62,3772.43,10586068,0.477,,,,,
2024-09-20,TCS,3832.38,3835.33,3804.35,3824.54,17375976,-0.2046,,,,,
2024-09-23,TCS,3932.0,3932.62,3910.08,3917.79,10058771,-0.3614,,,,,
2024-09-24,TCS,3863.55,3878.94,3857.19,3861.52,8214519,-0.0525,,,,,
2024-09-25,TCS,3900.78,3916.52,3869.87,3886.35,13625058,-0.3699,,,,,
2024-09-26,TCS,3856.45,3883.29,3826.53,3866.1,11917610,0.2502,3844.67,,,,
2024-09-27,TCS,3854.5,3872.59,3838.6,3862.7,7479668,0.2127,3855.92,,,,
2024-09-30,TCS,3994.69,4014.12,3975.99,3989.85,9562156,-0.1212,3886.98,,,,
2024-10-01,TCS,3930.68,3933.05,3911.15,3919.55,6373043,-0.2832,3900.55,,,,
2024-10-02,TCS,3940.48,3947.28,3930.62,3933.19,13388097,-0.185,3902.75,,,,
2024-10-03,TCS,3962.7,3965.13,3939.41,3957.09,16219317,-0.1416,3916.4,,,,
2024-10-04,TCS,3998.95,4035.41,3991.01,4011.02,10781893,0.3018,3934.21,,,,
2024-10-07,TCS,4008.41,4025.88,4002.88,4017.39,11548204,0.224,3955.83,,,,
2024-10-08,TCS,4016.57,4055.45,4015.32,4034.02,16422425,0.4345,3980.3,,,,
2024-10-09,TCS,4024.79,4034.64,3986.91,4016.57,8799926,-0.2042,3984.12,,,,
2024-10-10,TCS,4027.16,4044.65,4016.48,4031.29,6247946,0.1026,4000.08,,,,
2024-10-11,TCS,4007.67,4018.27,4004.34,4016.21,11916354,0.2131,4011.94,,,,
2024-10-14,TCS,4052.34,4053.69,4045.14,4048.15,12315661,-0.1034,4024.95,,,,
2024-10-15,TCS,4036.7,4049.81,4010.76,4031.72,14288765,-0.1234,4027.91,3939.07,,2.2551,2.3521
2024-10-16,TCS,4032.13,4071.06,4015.7,4051.78,6786064,0.4873,4032.82,3952.46,,2.1326,2.5129
2024-10-17,TCS,4042.7,4066.99,4026.21,4051.98,12547065,0.2295,4035.39,3966.44,,1.9059,2.1566
2024-10-18,TCS,4127.55,4131.09,4104.65,4109.2,16892669,-0.4446,4048.62,3980.67,,1.8655,3.2289
2024-10-21,TCS,4115.7,4127.61,4104.53,4108.3,11564351,-0.1798,4059.62,3990.2,,1.9522,2.9598
2024-10-22,TCS,4026.09,4031.36,3996.63,4022.76,11357519,-0.0827,4060.56,3998.26,,1.8008,0.6128
2024-10-23,TCS,4100.16,4108.29,4077.05,4086.27,8518647,-0.3388,4066.0,4008.26,,1.7334,1.9462
2024-10-24,TCS,4062.67,4076.65,4041.1,4043.38,12687605,-0.4748,4067.67,4017.12,,1.5235,0.6537
2024-10-25,TCS,4010.51,4016.2,4003.5,4013.15,6687479,0.0658,4062.15,4024.64,,1.2253,-0.2855
2024-10-28,TCS,3994.86,3995.11,3984.57,3985.95,16592908,-0.223,4052.72,4024.45,,1.2292,-0.9567
2024-10-29,TCS,4043.94,4075.33,4035.78,4054.4,12522080,0.2587,4044.89,4031.19,,1.0719,0.5758
2024-10-30,TCS,3940.72,3958.29,3931.74,3952.61,9520352,0.3017,4022.65,4032.16,,1.0183,-1.9729
2024-10-31,TCS,4096.78,4121.45,4095.68,4107.15,9466828,0.2531,4034.7,4039.66,,0.9982,1.6707
2024-11-01,TCS,4171.31,4198.19,4145.02,4161.62,12972575,-0.2323,4045.47,4047.2,,1.1865,2.8271
2024-11-04,TCS,4188.04,4195.6,4173.29,4174.56,14017169,-0.3219,4064.21,4055.05,,1.3614,2.9472
2024-11-05,TCS,4160.96,4197.12,4149.58,4173.47,12181530,0.3007,4087.11,4062.03,,1.4998,2.7435
2024-11-06,TCS,4171.51,4218.28,4160.06,4189.59,11046940,0.4334,4116.2,4070.68,,1.6259,2.9211
2024-11-07,TCS,4221.35,4250.33,4212.98,4217.78,14228276,-0.0846,4139.54,4080.0,,1.7921,3.377
2024-11-08,TCS,4259.62,4264.21,4248.61,4252.54,16234173,-0.1662,4182.39,4091.82,,1.9782,3.9278
2024-11-11,TCS,4288.52,4302.75,4265.51,4282.94,6660056,-0.1301,4207.5,4103.56,,2.2106,4.3713
2024-11-12,TCS,4295.72,4330.64,4279.88,4289.31,14381914,-0.1492,4225.74,4116.44,,2.38,4.1995
2024-11-13,TCS,4278.41,4292.63,4278.34,4280.81,14174688,0.0561,4240.92,4127.89,,2.5015,3.7046
2024-11-14,TCS,4257.84,4274.99,4249.41,4274.71,16204131,0.3962,4255.38,4139.02,,2.5755,3.2783
2024-11-15,TCS,4272.98,4284.92,4257.96,4266.36,13393237,-0.1549,4266.35,4146.88,,2.6531,2.8812
2024-11-18,TCS,4343.53,4361.51,4317.14,4327.01,14720736,-0.3803,4281.95,4157.82,,2.8057,4.0692
2024-11-19,TCS,4342.96,4377.52,4323.48,4359.95,12010769,0.3912,4297.3,4174.68,,2.8844,4.4379
2024-11-20,TCS,4210.81,4238.75,4186.56,4209.31,7573931,-0.0356,4286.78,4180.83,,2.8413,0.6812
2024-11-21,TCS,4258.49,4269.83,4227.47,4244.55,8125920,-0.3273,4280.39,4190.89,,2.744,1.2804
2024-11-22,TCS,4256.51,4279.72,4252.36,4256.27,9043611,-0.0056,4276.88,4203.04,,2.5659,1.2665
2024-11-25,TCS,4259.3,4283.15,4256.78,4257.02,13003141,-0.0535,4274.35,4216.6,,2.2636,0.9586
2024-11-26,TCS,4253.1,4267.46,4231.65,4238.77,13593373,-0.3369,4270.41,4225.82,4076.5,2.0714,0.3064
2024-11-27,TCS,4295.92,4317.5,4289.74,4298.53,8618036,0.0608,4266.34,4243.11,4086.79,1.433,1.3061
2024-11-28,TCS,4358.26,4367.57,4342.57,4349.83,10779319,-0.1934,4264.9,4255.25,4098.34,1.3228,2.2227
2024-11-29,TCS,4296.66,4313.03,4266.58,4311.09,10823218,0.3358,4279.44,4262.72,4108.07,1.2441,1.1347
2024-12-02,TCS,4327.8,4341.48,4324.04,4334.12,10737533,0.146,4292.23,4270.7,4116.4,1.195,1.485
2024-12-03,TCS,4286.03,4310.33,4274.92,4285.21,11244209,-0.0191,4296.37,4276.28,4124.87,1.0679,0.2088
2024-12-04,TCS,4204.79,4225.99,4187.56,4215.99,18215941,0.2664,4290.51,4277.6,4131.46,1.0134,-1.4403
2024-12-05,TCS,4182.32,4208.31,4143.3,4185.84,15088091,0.0842,4282.94,4276.01,4137.86,1.0797,-2.1087
2024-12-06,TCS,4217.55,4249.3,4172.94,4231.44,11710531,0.3293,4273.36,4274.95,4145.23,1.0986,-1.0178
2024-12-09,TCS,4298.09,4307.5,4244.21,4282.23,12485730,-0.369,4263.7,4274.92,4151.08,1.0985,0.171
2024-12-10,TCS,4294.12,4326.43,4278.68,4310.62,10426725,0.3842,4263.64,4275.98,4158.9,1.1118,0.8101
2024-12-11,TCS,4358.7,4366.93,4327.99,4350.34,11287888,-0.1918,4265.95,4279.46,4167.24,1.1771,1.6563
2024-12-12,TCS,4379.69,4382.79,4374.1,4379.35,11543361,-0.0078,4279.4,4284.69,4175.69,1.2852,2.2093
2024-12-13,TCS,4359.99,4360.78,4333.96,4347.26,18029322,-0.292,4298.15,4288.74,4182.41,1.3197,1.3645
