date,symbol,open,high,low,close,volume,daily_return,ma7,ma20,ma50,volatility,momentum_score
2024-09-18,WIPRO,490.73,493.64,488.79,492.38,1367010,0.3362,,,,,
2024-09-19,WIPRO,479.25,482.23,478.53,480.79,758022,0.3213,,,,,
2024-09-20,WIPRO,467.5,469.93,465.86,468.48,1446862,0.2096,,,,,
2024-09-23,WIPRO,472.19,472.61,469.56,470.8,864523,-0.2944,,,,,
2024-09-24,WIPRO,481.14,482.47,476.5,480.33,1824538,-0.1684,,,,,
2024-09-25,WIPRO,468.9,469.76,466.43,467.7,1322688,-0.2559,,,,,
2024-09-26,WIPRO,469.11,471.46,467.51,471.13,1383126,0.4306,475.94,,,,
2024-09-27,WIPRO,477.2,477.98,474.09,476.0,1139837,-0.2515,473.6,,,,
2024-09-30,WIPRO,460.78,462.29,457.97,459.65,1208184,-0.2452,470.58,,,,
2024-10-01,WIPRO,464.79,468.85,463.25,466.13,1455952,0.2883,470.25,,,,
2024-10-02,WIPRO,474.01,475.0,471.57,473.35,2164501,-0.1392,470.61,,,,
2024-10-03,WIPRO,472.08,474.91,468.41,470.98,1464879,-0.233,469.28,,,,
2024-10-04,WIPRO,482.42,484.45,480.68,481.35,1425944,-0.2218,471.23,,,,
2024-10-07,WIPRO,489.8,493.2,488.18,490.98,1803123,0.2409,474.06,,,,
2024-10-08,WIPRO,490.24,492.29,489.91,492.01,1361472,0.361,476.35,,,,
2024-10-09,WIPRO,487.54,491.14,486.95,488.38,1319835,0.1723,480.45,,,,
2024-10-10,WIPRO,481.24,483.23,480.2,480.46,1773063,-0.1621,482.5,,,,
2024-10-11,WIPRO,478.19,482.23,476.6,480.31,1486156,0.4433,483.5,,,,
2024-10-14,WIPRO,487.14,487.68,484.09,485.18,1540554,-0.4023,485.52,,,,
2024-10-15,WIPRO,481.72,485.04,480.42,482.66,1019197,0.1951,485.71,477.95,,1.9418,0.9855
2024-10-16,WIPRO,465.57,466.57,463.61,464.97,839345,-0.1289,482.0,476.58,,1.9009,-2.4361
2024-10-17,WIPRO,475.77,476.13,475.08,475.35,1531583,-0.0883,479.62,476.31,,1.8912,-0.2015
2024-10-18,WIPRO,477.85,478.59,472.01,477.06,1307360,-0.1653,478.0,476.74,,1.8496,0.0671
2024-10-21,WIPRO,475.31,475.71,473.28,474.12,1011282,-0.2504,477.09,476.9,,1.8308,-0.5829
